DATE,MODE,LOCATION,CUSTOMER,PRODUCT CODE,SOURCE,RAILCAR,FLEET,SUBFLEET,RAILCAR SEALS,BOL,TERMINAL / DESTINATION,CITY,STATE,"WEIGHT
(kg)","TEMPERATURE
(C)","DENSITY
(kg/m3 @ 15C)",S&W %,"S&W
(BBL @ 15C)","NET OIL
(BBL @ 15C)","TOTAL VOL
(BBL @ 15C)","S&W
(m3 @ 15C)","NET OIL
(m3 @ 15C)","TOTAL VOL
(m3 @ 15C)",BOL DATE,"HEEL VOLUME
(m3 @ 15C)","HEEL WEIGHT
(kg)"
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280776,CLOVER,POSTLANE,"0235562, 0235561, 0235602, 0235601",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,871",60.30,993.82,0.73,4.1522,564.6373,568.7895,0.6601,89.7702,90.4303,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280894,CLOVER,POSTLANE,"0235568, 0235567, 0235608, 0235607",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,151",62.20,996.05,0.73,4.1558,565.1256,569.2814,0.6607,89.8478,90.5085,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280955,CLOVER,POSTLANE,"0235570, 0235569, 0235610, 0235609",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,015",62.90,992.33,0.73,4.1651,566.3906,570.5557,0.6622,90.0489,90.7111,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281636,CLOVER,POSTLANE,"0235564, 0235563, 0235604, 0235603",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,387",61.90,992.68,0.73,4.1346,562.2428,566.3774,0.6573,89.3895,90.0468,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281824,CLOVER,POSTLANE,"0235566, 0235565, 0235607, 0235605",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,419",63.80,996.84,0.73,4.1188,560.0949,564.2137,0.6548,89.0480,89.7028,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280830,CLOVER,POSTLANE,"0235818, 0235817, 0235798, 0235797",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,972",68.50,993.95,0.27,1.5373,567.8170,569.3543,0.2444,90.2757,90.5201,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280893,CLOVER,POSTLANE,"0235812, 0235811, 0235792, 0235791",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,939",68.30,996.68,0.27,1.5325,566.0500,567.5825,0.2436,89.9948,90.2384,09-Jan-20,0.0400,37.85
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280907,CLOVER,POSTLANE,"0235806, 0235805, 0235786, 0235785",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,951",68.40,998.49,0.27,1.5299,565.1009,566.6308,0.2432,89.8439,90.0871,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281063,CLOVER,POSTLANE,"0235840, 0235839, 0235850, 0235849",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,846",71.60,994.27,0.50,2.8418,565.5275,568.3693,0.4518,89.9117,90.3635,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281220,CLOVER,POSTLANE,"0235802, 0235801, 0235782, 0235781",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,392",66.80,994.54,0.27,1.5264,563.8194,565.3458,0.2427,89.6401,89.8828,09-Jan-20,0.1300,128.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281262,CLOVER,POSTLANE,"0235832, 0235831, 0235842, 0235841",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,409",72.00,995.01,0.50,2.8259,562.3601,565.1860,0.4493,89.4081,89.8574,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281352,CLOVER,POSTLANE,"0235804, 0235803, 0235784, 0235783",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,292",68.30,995.37,0.27,1.5234,562.7160,564.2394,0.2422,89.4647,89.7069,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281390,CLOVER,POSTLANE,"0235828, 0235827, 0235662, 0235670",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,956",65.30,997.97,0.61,3.4580,563.5005,566.9585,0.5499,89.5893,90.1392,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281434,CLOVER,POSTLANE,"0235838, 0235837, 0235848, 0235847",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,350",72.10,991.82,0.50,2.8331,563.7933,566.6264,0.4504,89.6360,90.0864,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281453,CLOVER,POSTLANE,"0235816, 0235815, 0235796, 0235795",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,430",68.00,998.31,0.27,1.5213,561.9294,563.4507,0.2419,89.3396,89.5815,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281473,CLOVER,POSTLANE,"0235834, 0235833, 0235844, 0235843",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,173",72.30,997.98,0.50,2.8101,559.2046,562.0147,0.4468,88.9064,89.3532,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281551,CLOVER,POSTLANE,"0235822, 0235821, 0235668, 0235667",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,963",53.05,993.32,0.61,3.4743,566.1769,569.6512,0.5524,90.0149,90.5673,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281689,CLOVER,POSTLANE,"0235824, 0235823, 0235666, 0235665",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,840",63.75,993.92,0.61,3.4680,565.0685,568.5365,0.5514,89.8387,90.3901,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281693,CLOVER,POSTLANE,"0235826, 0235825, 0235664, 0235663",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,896",65.90,997.75,0.61,3.4568,563.2482,566.7050,0.5496,89.5493,90.0989,09-Jan-20,0.0600,56.78
